,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
11059,584.3593292239203,524.9472916269846,-59.41203759699319,-846.8329750374012,614.0653480223955,495.24127282847917,-441.8988973035821,-655.9150648869181,-372.98731704204647,319.6352683932064,779.7768295212873,954.7065256497883
11060,524.6899564283365,502.93173130954733,-21.758225118846703,-776.155822083099,535.5690689877382,492.05261875011564,-444.5078511965813,-772.2272127548904,-487.3362071644596,208.28907231836553,679.5917315356157,872.423001021026
11061,448.76030420918994,463.406107032555,14.645802823307264,-680.4633577254565,441.43740279751466,470.72900844420076,-435.887318242554,-875.5013545825284,-607.4515129000971,81.37126525767917,551.4264882634171,758.7991935335865
11062,361.66037315990644,409.660420386955,48.00004722699061,-566.4905833533734,337.66034954638957,433.6604440004429,-417.84730070897535,-962.0274934100244,-727.6631519750777,-54.558154465988885,402.7111008603313,620.8251036844769
11063,268.4601638860011,345.54467297143833,77.08450908537915,-441.23250037171,229.9179093432901,384.08692751412093,-392.8778008514957,-1029.5056322049734,-842.5910430843414,-192.63918846974997,241.52557048961995,466.70073198333034
11064,174.58967700510405,275.23886639240493,100.64918938724254,-312.20911020129654,124.26508231146148,325.56346108601946,-362.5988209137855,-1076.605773861954,-947.1151058988801,-326.2218383103785,76.91989832214145,305.87607895243536
11065,85.6789131469857,202.93300226392842,117.2540891168842,-187.14541427894014,27.051868588522467,261.56004682236403,-331.87036312738104,-1103.3079212021087,-1037.9352610729572,-449.53610548400076,-82.58591446367431,147.6711451267637
11066,6.637872953581635,132.43708220772135,125.79920925408102,-72.85641405743274,-56.26173167347983,195.33668683475554,-300.1724297115297,-1108.9620769727248,-1110.0114302513186,-555.9419914257849,-227.31186668185225,1.8259310539986302
11067,-58.98344292098251,67.4311078530996,126.41455077402325,25.26788899444199,-122.1907183080149,130.63838324010513,-271.00502287303544,-1094.0282438468198,-1160.8935360763946,-640.9394975096317,-350.69795713889744,-124.95956270543704
11068,-109.90503381036652,10.825080836946697,120.73011464725414,104.4924933919022,-170.27009113401417,71.19013816056781,-243.9681448061045,-1059.7464244227237,-1188.44150219549,-701.3386250478667,-448.4041846338214,-228.53533557835323
11069,-146.05689903599134,-35.54099719632234,110.51590183960974,163.82739763416131,-201.3148499558166,19.716953723476724,-219.70179769219015,-1007.9666212236658,-1191.6852532679657,-735.1993752909331,-517.7305479581688,-306.66138697876534
11070,-168.6590379070151,-70.63712459479723,98.02191331215838,203.97760020442223,-217.66999456311453,-21.62616793872372,-197.02598369983895,-941.558836697361,-1171.3347149724077,-742.9417494270859,-558.3970458960438,-358.9377163078672
11071,-179.65144972030916,-94.20329969910907,85.4481500211404,226.753099569872,-222.3755247308994,-51.47922468854441,-175.1507049845359,-864.7930732155984,-1130.549814013788,-727.6357485820877,-572.7836772241371,-387.1343229540038
11072,-181.15413376043486,-107.53952084246725,73.61461291790768,234.92389418167653,-217.96144021940853,-70.73221438351887,-156.03596368855017,-780.7993330738307,-1073.7304781306098,-693.501373818904,-565.3004407117528,-394.8112062926449
11073,-175.23708929961992,-112.3557863506967,62.88130294886308,231.41498247497614,-206.67774077407114,-80.91513487627047,-137.42176194078067,-692.0276184907644,-1004.0266361020462,-644.3486261374019,-539.727335120836,-385.5183656863585
11074,-164.26031559773566,-110.60209454227525,53.65822105540005,219.56136286888096,-191.08942612545525,-83.7729840145804,-119.52810185660177,-601.2979316079529,-925.6382177550619,-584.5375064740479,-500.7543592060003,-363.62580048478526
11075,-150.52381190227413,-104.13844372837156,46.38536817384202,202.59303376646744,-173.7164959892146,-80.94575964145557,-100.35498553770917,-510.8302744893892,-841.4951539715269,-517.7780157016081,-452.60151171455556,-333.21351002461176
